,Pressure (Pa),Adsorption (molecules/uc),Unit cell length (Angstrom),Heat of adsorption (kJ/mol),Solid-fluid energy (K),Fluid-fluid energy (K)
0,5.0,2.8264317500000002,25.97062925599873,-17.707673125,-9958.085373789341,-54.94800442695066
1,10.0,5.6015887187499995,25.970336197849043,-17.7270365,-19624.49069363207,-10.063462618415716
2,20.0,10.77688734375,25.96924413510565,-17.794314250000003,-35711.47247619119,-26.492016245173136
3,30.0,15.618054812500002,25.96830488167528,-17.578159499999998,-52339.01030369989,352.17988260080625
4,40.0,20.441514921875,25.96728968633422,-17.10421825,-67377.7731953927,283.5622653293823
5,50.0,25.345893734375,25.965977010910994,-16.432316874999998,-83169.8904467015,-61.25881441669525
6,60.0,31.040582812500002,25.964571900828318,-15.669160375,-97324.06951632121,-694.4570977014622
7,70.0,38.120747859375,25.962685124738414,-14.223736875,-119470.40713310505,-6442.425173762777
8,80.0,49.48054809375001,25.95982488734544,-13.068077625,-148662.79841917125,-13289.187264190494
9,84.0,87.504698921875,25.954958528108886,-12.44571025,-295877.1133935189,-193775.92557964468
10,85.0,157.866974859375,25.951203976518237,-10.198683875,-718195.176623764,-985454.9052875108
11,90.0,198.374812265625,25.948598045205085,-1.1949933750000001,-1095673.019964181,-1942144.1532120237
12,100.0,212.25389828124997,25.946543936203692,6.12193875,-1211071.158485653,-2375956.3723765137
13,110.0,218.32692414062498,25.94543172534912,11.7609565,-1251197.4576088914,-2655144.2904135236
14,120.0,222.79205678124998,25.94459640776835,18.392405874999998,-1297886.7527659454,-2852210.8613084788
15,130.0,225.77574682812502,25.944004194668565,23.303761,-1351193.0026194924,-2960559.324507787
16,140.0,228.483095484375,25.943492835056947,32.34738325,-1378508.6189097902,-3059185.4048636435
17,150.0,230.59314464062498,25.943067139821917,36.39444725,-1380322.828779267,-3095588.3745040586
18,160.0,232.46642465625,25.942719310539232,47.39640849999999,-1444092.3625884785,-3285551.633089803
19,170.0,233.95783921875,25.942406992396208,50.287417,-1405226.8785724742,-3280318.8527951683
20,180.0,235.03892740625002,25.942181640755166,55.019109125,-1439338.3003990059,-3238333.4641918116
21,190.0,236.50391454687497,25.941921188724255,62.243084124999996,-1455484.8845351997,-3315022.1803329913
22,200.0,237.41212729687504,25.941795831249106,67.721684125,-1437868.2265039638,-3417598.3690308817
