,Pressure (kPa),Adsorption (molecules/uc),Unit cell length (Angstrom),Heat of adsorption (kJ/mol),Solid-fluid energy (K),Fluid-fluid energy (K)
0,1.0,1.4625902343750001,25.909833315997464,-25.622094749999995,-11382.16229042595,45.576338321930976
1,1.5998684,2.289873453125,25.909388866446523,-26.542834125000002,-17447.704141097183,-51.064764284706634
2,5.3328947,8.171402734375,25.908457436205428,-26.169989749999996,-58327.2486244236,-346.8221605151071
3,9.8658553,16.90964928125,25.90577545873312,-25.148247875,-115030.42828866355,-2894.8812437316783
4,13.9721842,28.25466853125,25.90117540214044,-23.992350875000003,-178008.0879137127,-12738.519746303818
5,15.4920592,35.670186656249996,25.897706404740937,-22.940258375,-213163.42939595316,-26459.757363142107
6,16.0,39.7144621875,25.89568952162459,-22.55723575,-223563.38500236926,-37835.91556514495
7,16.7052928,151.635453140625,25.82589497120784,6.910066750000001,-1341756.6774708352,-2801421.9187929076
8,18.078513200000003,175.27874146875,25.82550977681595,82.754040875,-1854464.4334500297,-4245034.325040006
9,19.3317434,177.7889314375,25.82928360968099,132.892767125,-1918545.3135123174,-4541670.369223739
10,19.9983553,178.65945709375,25.830795707203357,138.6665575,-1956214.715125228,-4598310.267297014
11,20.664967100000002,179.815061140625,25.832687369519828,157.361459375,-1980989.3888281635,-4699991.838259928
12,21.9981908,181.17336404687498,25.835110552756067,196.70837775,-2025797.9632037738,-4807576.359568106
13,23.3314145,182.641716796875,25.838159094280385,224.83683925,-2075757.1119507211,-4972838.155705112
14,25.33125,184.1355904375,25.8414552546723,271.6608015,-2114778.041459039,-5119656.452238915
15,28.6643092,186.38318125,25.846725959505868,336.730684625,-2166093.145745029,-5403180.411526208
16,33.330592100000004,188.62169373437501,25.852526437332887,406.1974355,-2238806.6506844535,-5525221.390939547
17,40.130032899999996,191.0069565625,25.85944209134923,493.20500149999987,-2291506.536047409,-5818742.979583066
