,Pressure (kPa),Adsorption (molecules/uc),Unit cell length (Angstrom),Heat of adsorption (kJ/mol),Solid-fluid energy (K),Fluid-fluid energy (K)
0,1.0,1.46254125,25.83199999981617,-16.91946,-21751.064104269073,-101.77129164698165
1,1.5998684,2.27518375,25.83199999981617,-22.90163,-23393.09646727373,-200.0306545811867
2,5.3328947,8.14945,25.83199999981617,-18.80552,-102128.0499531076,-3031.282351907194
3,9.8658553,16.20135875,25.83199999981617,-19.87165,-165485.24016403742,-10552.097054167427
4,13.9721842,27.887225,25.83199999981617,-20.65219,-249902.3405750196,-31200.334322703293
5,15.4920592,35.34441625,25.83199999981617,-21.12771,-248843.97043083404,-37691.61215732393
6,16.0,38.20613375,25.83199999981617,-21.99243,-222880.28816847413,-33683.586848840205
7,16.7052928,176.56695875,25.83199999981617,-39.00524,-1371826.4418673199,-1607319.0165317422
8,18.078513200000003,180.52130875,25.83199999981617,53.35272,-1723977.6832605174,-4090952.0066559645
9,19.3317434,183.24115875,25.83199999981617,97.46244,-1856346.8332759463,-4277158.786119948
10,19.9983553,184.14669125,25.83199999981617,143.88334,-1917225.413221072,-4569739.263502662
11,20.664967100000002,184.3117,25.83199999981617,111.92432,-1916993.7314289385,-4610938.177868108
12,21.9981908,187.08996625,25.83199999981617,122.38225,-1944001.7179234256,-4701488.459043974
13,23.3314145,187.22501625,25.83199999981617,231.10023,-2055494.081732489,-4953352.005501908
14,25.33125,189.628325,25.83199999981617,183.12322,-2080115.2464669414,-5014696.6868630815
15,28.6643092,191.80466625,25.83199999981617,328.89234,-2147287.0295693893,-5326564.608842621
16,33.330592100000004,193.84320875,25.83199999981617,323.7435,-2229962.0698058056,-5544636.763228315
17,40.130032899999996,198.50735,25.83199999981617,628.21577,-2306408.726191301,-5862832.825355493
