,Pressure (kPa),Adsorption (molecules/uc),Unit cell length (Angstrom),Heat of adsorption (kJ/mol),Solid-fluid energy (K),Fluid-fluid energy (K)
0,1.0,1.655127828125,25.908090602105876,-26.337823000000004,-12888.350648006366,45.58887190404997
1,1.5998684,2.5726621718750002,25.907880896662405,-27.617917999999996,-19602.149515400728,303.8726568730644
2,5.3328947,9.4470363125,25.906117429680727,-26.488903375,-68412.71803175077,-619.5935089662163
3,9.8658553,20.581915765625002,25.902445384094296,-25.143508625,-137737.481011505,-4093.1032990871727
4,11.92,27.959217000000002,25.89898822231859,-24.052757125,-176949.94160870783,-11420.08310737828
5,12.946,34.00096421875,25.89608465732571,-23.425196375000002,-206386.45233633823,-22001.809868547112
6,13.5,39.159276421875,25.89296804885732,-22.902039375,-230946.33563570012,-39765.97895357285
7,13.9721842,166.607814015625,25.8095883825557,46.711779250000006,-1637864.3945505815,-3615146.3866377403
8,15.4920592,179.0586746875,25.818623055502528,146.74299737500002,-1946305.7537104976,-4595169.048750703
9,16.7052928,180.994988609375,25.82271177756536,191.88067225,-2028557.1704124769,-4825246.153488458
10,18.078513200000003,182.876854828125,25.82655590539872,233.181828,-2099928.1496394607,-4990714.647763569
11,19.3317434,184.00143654687503,25.82937634839844,264.57464175,-2110246.065440801,-5105144.806114718
12,19.9983553,184.828000890625,25.83157885853538,284.99647862499995,-2076330.992268564,-5169048.023822073
13,20.664967100000002,185.4274026875,25.83314789440339,307.08400250000005,-2151307.3946958156,-5254826.7114934
14,21.9981908,186.30204009375,25.8356440602183,338.76663900000005,-2178515.477287478,-5335700.1553862905
15,23.3314145,187.128160015625,25.837543554215358,365.6123845,-2186727.4150051577,-5394533.366427884
16,25.33125,188.36803064062502,25.841327334332025,390.8868375,-2211347.9512326657,-5509925.198387387
17,28.6643092,189.92978834374998,25.845543453441653,475.045749,-2288722.3406131235,-5687780.2583597945
18,33.330592100000004,191.682780046875,25.850953469629868,539.024237,-2347522.3673161524,-5871117.127934426
19,40.130032899999996,193.62061078125,25.857132078186133,645.84719975,-2393831.4195467914,-6102904.339586242
