,Pressure (kPa),Adsorption (molecules/uc),Unit cell length (Angstrom),Heat of adsorption (kJ/mol),Solid-fluid energy (K),Fluid-fluid energy (K)
0,1.0,1.62774125,25.83199999981617,-17.46634,-24442.616562649197,-133.80072183752242
1,1.5998684,2.71439125,25.83199999981617,-22.38787,-29156.415734038736,-332.25221242423356
2,5.3328947,9.47029125,25.83199999981617,-19.20521,-118664.73667773194,-3812.973604665944
3,9.8658553,20.32044125,25.83199999981617,-20.3987,-210157.4813608472,-18904.916435226314
4,11.92,27.406525,25.83199999981617,-21.45868,-213696.45106356207,-22446.317094808583
5,12.946,33.78495,25.83199999981617,-20.90038,-235452.17926962354,-41422.49743814441
6,13.4590921,40.7367,25.83199999981617,-21.59289,-253010.49928434816,-67884.64735744601
7,13.9721842,181.19581625,25.83199999981617,-45.57127,-1425344.104263021,-1711088.620296181
8,15.4920592,183.95020875,25.83199999981617,149.85246,-2044277.2883589307,-5091874.780610112
9,16.7052928,186.42073375,25.83199999981617,214.04068,-2114925.490194309,-5329912.347449229
10,18.078513200000003,188.565425,25.83199999981617,202.43619,-2168317.2077336684,-5627931.550661472
11,19.3317434,189.37465,25.83199999981617,306.12195,-2214303.5199416517,-5809019.123250068
12,19.9983553,190.85764125,25.83199999981617,383.3311,-2234122.3551770425,-5879943.026920344
13,20.664967100000002,191.56943375,25.83199999981617,377.60189,-2249476.6749163936,-6062362.529497515
14,21.9981908,192.20315,25.83199999981617,400.60118,-2287044.397647869,-6111448.591452851
15,23.3314145,193.95776625,25.83199999981617,327.35846,-2297529.9234122946,-6281784.9767542705
16,25.33125,195.56240875,25.83199999981617,509.00953,-2328482.473831862,-6460519.364633458
17,28.6643092,197.541425,25.83199999981617,577.00381,-2374537.9144040463,-6763340.086083671
18,33.330592100000004,198.93606625,25.83199999981617,733.61101,-2450722.7430924326,-6942913.806415296
19,40.130032899999996,201.18488375,25.83199999981617,763.49343,-2582675.981201246,-7136664.559239994
