,Pressure (kPa),Adsorption (molecules/uc),Unit cell length (Angstrom),Heat of adsorption (kJ/mol),Solid-fluid energy (K),Fluid-fluid energy (K)
0,1.0,1.4154255,25.895598727611468,-23.393253375,-1640.8335776221488,-12.217919655830215
1,1.5998684,2.320903875,25.895337803053906,-23.654275125,-2567.174040616585,-30.92250236818149
2,5.3328947,8.131575125,25.893816401100146,-25.086818875,-7386.310826290148,59.824411581813266
3,9.8658553,16.659673249999997,25.89165225938843,-25.249849,-14193.97385614957,-369.88344662052094
4,13.9721842,27.00497875,25.887150503316306,-24.30219325,-21463.60300849342,-1384.9733336774225
5,15.4920592,37.786854,25.880802175704417,-23.447692875,-26975.99907543011,-9529.50523774785
6,16.0,55.3690565,25.86880263556831,-23.223676875000002,-40613.891227344786,-37292.455071211836
7,16.7052928,112.08852775,25.831627446657865,-9.211761,-114928.97250523043,-200832.60168753873
8,18.078513200000003,168.9705045,25.812952712601753,70.974598375,-210988.37583064326,-498463.0733689908
9,19.3317434,178.523901375,25.820862913389014,146.829507875,-241031.72939427174,-594482.688355825
10,19.9983553,179.42827625,25.823533074678547,157.8270645,-245161.93764925544,-575570.2186463665
11,20.664967100000002,180.47449699999999,25.825531312674414,193.52273474999998,-257714.3507268467,-603115.3644380157
12,21.9981908,182.37692687500004,25.829908418553142,218.721545875,-253136.509607789,-610446.2242799881
13,23.3314145,183.90810675,25.83351207995561,255.21487050000002,-262326.64857698337,-632362.1996488777
14,25.33125,185.80445300000002,25.83922298120811,312.582408875,-271747.6002017136,-651854.994585335
15,28.6643092,188.380938875,25.846365165165675,387.3732425,-278737.811062498,-684671.6435056777
16,33.330592100000004,190.31397475,25.852329470833947,480.88786425,-299253.8015226112,-703417.2546636625
17,40.130032899999996,193.36481125,25.861549864582752,632.8420831249999,-300209.3137375744,-750839.6486672607
