,Pressure (kPa),Adsorption (molecules/uc),Unit cell length (Angstrom),Heat of adsorption (kJ/mol),Solid-fluid energy (K),Fluid-fluid energy (K)
0,1.0,1.4828,25.83199999981617,-17.21792,-2766.9066729305723,-14.136463821892395
1,1.5998684,2.35033,25.83199999981617,-19.35303,-3643.7723508256236,-31.640144658973977
2,5.3328947,8.4222,25.83199999981617,-18.41695,-13861.998795732126,-430.70798011422346
3,9.8658553,16.492,25.83199999981617,-20.45681,-20737.936078218605,-1759.8480950594517
4,13.9721842,28.5448,25.83199999981617,-20.57172,-31558.524904196514,-4791.649374069713
5,15.4920592,32.98027,25.83199999981617,-21.61643,-27149.486270724083,-4032.894769024506
6,16.0,33.65053,25.83199999981617,-21.9914,-23067.68302514787,-2608.1033490552322
7,16.7052928,177.40307,25.83199999981617,-39.32955,-175015.83675689338,-205313.98594214447
8,18.078513200000003,179.6962,25.83199999981617,65.85006,-149912.3405616865,-622857.1159118721
9,19.3317434,181.73867,25.83199999981617,93.40195,-153126.24369977473,-666057.1375724156
10,19.9983553,183.09067,25.83199999981617,136.5134,-152156.25590015535,-695033.6774601509
11,20.664967100000002,182.42327,25.83199999981617,98.90887,-153251.63192362981,-691133.6501957066
12,21.9981908,185.61773,25.83199999981617,192.04969,-154006.57936741234,-701833.9568644448
13,23.3314145,187.6826,25.83199999981617,136.10503,-156582.66117614353,-720696.5960754965
14,25.33125,189.21227,25.83199999981617,235.73345,-182750.18869920613,-766342.1718666948
15,28.6643092,191.23467,25.83199999981617,454.49498,-183676.43537968135,-780888.7430228312
16,33.330592100000004,193.18287,25.83199999981617,410.75182,-188449.58663702803,-809590.4921267322
17,40.130032899999996,195.30727,25.83199999981617,508.1482,-207458.48964838166,-820052.7232166979
