Time,Bond,Angle,Proper Dih.,Per. Imp. Dih.,LJ-14,Coulomb-14,LJ (SR),Coulomb (SR),Coul. recip.,Potential,Kinetic En.,Total Energy,Conserved En.,Temperature,Pressure,Box-X,Box-Y,Box-Z,Volume,Density,pV,Enthalpy,Vir-XX,Vir-XY,Vir-XZ,Vir-YX,Vir-YY,Vir-YZ,Vir-ZX,Vir-ZY,Vir-ZZ,Pres-XX,Pres-XY,Pres-XZ,Pres-YX,Pres-YY,Pres-YZ,Pres-ZX,Pres-ZY,Pres-ZZ,#Surf*SurfTen,T-System,Lamb-System
0.0,1721.0347900390625,1088.392578125,749.9786987304688,159.07423400878906,2429.3291015625,9784.7841796875,3005.194580078125,-51636.36328125,70.21170043945312,-32628.36328125,3294.522216796875,-29333.841796875,-29333.091796875,624.4916381835938,-481.2556457519531,25.71582794189453,25.71582794189453,25.71582794189453,17.0059757232666,601.3858642578125,1.0241237878799438,-29332.818359375,607.5180053710938,-595.3040771484375,-90.05581665039062,-595.30615234375,1626.5426025390625,18.183658599853516,-90.05459594726562,18.185428619384766,1799.759521484375,1139.2171630859375,1187.99853515625,62.938072204589844,1188.0025634765625,-1188.2762451171875,23.28720474243164,62.93568801879883,23.283740997314453,-1394.7078857421875,-3523.527099609375,624.4916381835938,1.0
0.5,1751.04541015625,995.5950317382812,706.7147827148438,157.0209503173828,2447.123046875,9770.9033203125,2980.696044921875,-51562.40234375,66.63248443603516,-32686.671875,3275.56640625,-29411.10546875,-29189.349609375,620.8984985351562,-955.943603515625,25.616271495819092,25.616271495819092,25.616271495819092,16.809226989746094,608.4249877929688,1.0122753381729126,-29410.09375,1803.24072265625,287.54461669921875,-908.0264892578125,287.54571533203125,1601.8939208984375,299.99969482421875,-908.0318603515625,300.002685546875,1321.948974609375,-1318.7147216796875,-484.5066833496094,1921.8394775390625,-484.5088806152344,-997.4472045898438,-684.9160766601562,1921.85009765625,-684.9219360351562,-551.6690063476562,1553.4012451171875,620.8984985351562,1.0
1.0,1752.67822265625,1099.2142333984375,750.9942626953125,156.93753051757812,2527.17333984375,9777.3251953125,2957.36962890625,-51469.62890625,68.9499282836914,-32378.98828125,3546.926513671875,-28832.0625,-29107.46875,672.3359985351562,778.565185546875,25.734970569610596,25.734970569610596,25.734970569610596,17.04397964477539,600.044921875,1.0264124870300293,-28831.03515625,585.6357421875,-1162.96240234375,-906.7863159179688,-1162.9632568359375,1517.409423828125,-832.5247192382812,-906.7815551757812,-832.5243530273438,245.1878662109375,1234.4517822265625,2264.314453125,1808.09814453125,2264.31591796875,-763.6238403320312,1478.839111328125,1808.0888671875,1478.83837890625,1864.86767578125,4193.39453125,672.3359985351562,1.0
1.5,1611.508544921875,990.2900390625,734.3216552734375,170.45660400390625,2458.9990234375,9788.515625,3068.233642578125,-51610.92578125,79.16219329833984,-32709.439453125,3527.8818359375,-29181.55859375,-29022.044921875,668.7260131835938,1282.740234375,25.673646926879883,25.673646926879883,25.673646926879883,16.922428131103516,604.35498046875,1.0190924406051636,-29180.5390625,1420.15869140625,544.6347045898438,379.26312255859375,544.6296997070312,-872.046875,-307.4188537597656,379.2557373046875,-307.4225158691406,1018.9237670898438,-394.3584289550781,-937.7848510742188,-789.9651489257812,-937.7750244140625,3980.519287109375,699.8406372070312,-789.95068359375,699.847900390625,262.05975341796875,-3930.6884765625,668.7260131835938,1.0
2.0,1658.7918701171875,1146.205322265625,760.947509765625,134.25221252441406,2381.84814453125,9756.283203125,3092.621826171875,-51725.71875,67.19458770751953,-32727.57421875,3525.1875,-29202.38671875,-28980.6484375,668.2152709960938,-1030.3175048828125,25.810463428497314,25.810463428497314,25.810463428497314,17.194416046142578,594.7950439453125,1.0354719161987305,-29201.3515625,2661.058349609375,-213.41439819335938,337.8916320800781,-213.4112091064453,1268.813232421875,-65.39049530029297,337.89459228515625,-65.38780975341797,1195.6131591796875,-2760.401611328125,410.3386535644531,-467.949951171875,410.33251953125,-196.40426635742188,-26.23910903930664,-467.9556884765625,-26.24429702758789,-134.14659118652344,3469.587890625,668.2152709960938,1.0
2.5,1551.6590576171875,1125.260009765625,737.5827026367188,182.25479125976562,2570.224609375,9783.16015625,3089.46240234375,-51749.44140625,56.0949592590332,-32653.7421875,3180.720458984375,-29473.021484375,-28923.009765625,602.9199829101562,2029.4906005859375,25.74655294418335,25.74655294418335,25.74655294418335,17.06700325012207,599.2354736328125,1.0277990102767944,-29471.994140625,-471.12548828125,817.10009765625,203.6240692138672,817.09716796875,-676.6556396484375,-1117.843994140625,203.61729431152344,-1117.8431396484375,1199.638671875,3261.72021484375,-1587.6312255859375,-426.2351989746094,-1587.62548828125,3090.071044921875,2188.671142578125,-426.2220153808594,2188.66943359375,-263.31915283203125,-8854.7919921875,602.9199829101562,1.0
3.0,1520.5718994140625,834.3641357421875,692.9494018554688,178.67315673828125,2618.52783203125,9821.685546875,3350.27734375,-51618.3671875,67.10164642333984,-32534.216796875,3651.4091796875,-28882.80859375,-28340.869140625,692.1411743164062,3532.392578125,25.345172882080078,25.345172882080078,25.345172882080078,16.28117561340332,628.158203125,0.9804753065109253,-28881.828125,-513.0413818359375,1215.4246826171875,467.1628723144531,1215.4283447265625,-358.20538330078125,220.08151245117188,467.1638488769531,220.08444213867188,-672.479248046875,3573.940673828125,-2712.9873046875,-1116.503173828125,-2712.994873046875,3307.34228515625,-478.4375305175781,-1116.505126953125,-478.4435119628906,3715.89404296875,697.632080078125,692.1411743164062,1.0
3.5,1749.614990234375,1136.773193359375,680.1524658203125,169.6950225830078,2403.6416015625,9750.59765625,2570.231689453125,-51068.58984375,69.9109115600586,-32537.97265625,3488.8193359375,-29049.15234375,-28126.0,661.321533203125,-2154.01904296875,25.817389488220215,25.817389488220215,25.817389488220215,17.208261489868164,594.3165283203125,1.0363057851791382,-29048.115234375,1816.21728515625,10.272446632385254,955.474365234375,10.270432472229004,3966.4091796875,352.969970703125,955.475830078125,352.976318359375,1054.52685546875,-1296.418212890625,43.05227279663086,-1908.31005859375,43.05614471435547,-5343.2998046875,-460.29608154296875,-1908.3128662109375,-460.3083190917969,177.66049194335938,9029.681640625,661.321533203125,1.0
4.0,1638.19775390625,1094.4072265625,646.7398071289062,138.72120666503906,2531.49462890625,9802.986328125,2836.972412109375,-51391.17578125,76.95772552490234,-32624.69921875,3414.326171875,-29210.373046875,-27934.078125,647.2010498046875,1023.9186401367188,25.80498456954956,25.80498456954956,25.80498456954956,17.183467864990234,595.1740112304688,1.034812569618225,-29209.337890625,288.5058288574219,-106.62566375732422,-125.7616195678711,-106.61949920654297,778.494873046875,-553.8433227539062,-125.75837707519531,-553.8411865234375,757.9794311523438,1868.2857666015625,277.62493896484375,300.1960754394531,277.613037109375,608.1362915039062,1056.0113525390625,300.1898193359375,1056.0072021484375,595.3338623046875,-1658.943603515625,647.2010498046875,1.0
4.5,1497.3548583984375,1042.03955078125,738.4745483398438,120.79360961914062,2591.985595703125,9821.029296875,3236.751220703125,-51798.92578125,65.48786926269531,-32685.0078125,3257.08203125,-29427.92578125,-27725.279296875,617.3946533203125,3582.172607421875,25.542926788330078,25.542926788330078,25.542926788330078,16.66525650024414,613.68115234375,1.0036052465438843,-29426.921875,-39.38051223754883,-366.7178039550781,-128.59185791015625,-366.7214660644531,-943.3250122070312,493.8617858886719,-128.59085083007812,493.8605651855469,-1152.8433837890625,2331.91162109375,786.9786987304688,168.76893615722656,786.9860229492188,3938.573486328125,-996.1785888671875,168.7669219970703,-996.1761474609375,4476.03271484375,3424.770263671875,617.3946533203125,1.0
